nctId,briefTitle,overallStatus,startDate,firstPosted,completionDate,studyType,phases,enrollment,leadSponsor,sponsorClass,conditions,nLocations,countries
NCT03330496,Assessment of Pain in Newborns and Older Infants (Infant Pain Assessment Study =,COMPLETED,2017-10-30,2017-11-06,2022-03-30,OBSERVATIONAL,,43,Stanford University,OTHER,"Pain, Acute",1,United States
NCT07357896,Balance Training Using Artificial Intelligence on Pelvic Asymmetry in Stroke Patients.,COMPLETED,2025-12-01,2026-01-22,2026-03-30,INTERVENTIONAL,NA,38,Cairo University,OTHER,Sroke Patients,1,Egypt
NCT05914571,Artificial Intelligence With Determination of Central Venous Catheter Line Associated Infection Risk,UNKNOWN,2023-07,2023-06-22,2024-12,OBSERVATIONAL,,2000,Saglik Bilimleri Universitesi,OTHER,Artificial Intelligence | Central Venous Catheter Associated Bloodstream Infection,0,
NCT05222464,Utilizing MyChart to Assess the Effectiveness of Interventions for Vasomotor Symptoms: A Feasibility Study,COMPLETED,2022-02-25,2022-02-03,2022-09-22,INTERVENTIONAL,PHASE4,56,Ottawa Hospital Research Institute,OTHER,Breast Cancer,1,Canada
NCT07292116,Disease Progression in ms,NOT_YET_RECRUITING,2025-12-15,2025-12-18,2026-03-01,OBSERVATIONAL,,53,Hüseyin Bektaş,OTHER,Prediction of Disease Progression | Multiple Sclerosis,0,
NCT07474558,SCALp Cooling for pReventing aLopecia With nEw anTibody-drug Conjugates,NOT_YET_RECRUITING,2026-09,2026-03-16,2031-09,INTERVENTIONAL,PHASE2,102,Jules Bordet Institute,OTHER,Advanced or Metastatic Solid Tumour | Antibody-Drug Conjugate | Alopecia,3,Belgium
NCT07449858,18F-FDG PET/CT Radiomics Models for Precision Diagnosis and Prognosis in NSCLC,ACTIVE_NOT_RECRUITING,2025-07-01,2026-03-04,2027-12-31,OBSERVATIONAL,,500,"Second Affiliated Hospital, Zhejiang University, School of Medicine",OTHER,Non Small Cell Lung Cancer,4,China
NCT06792747,Evaluation of Diagnostic Accuracy of Artificial Intelligence in Treatment Planning for Non-growing Class II Cases,UNKNOWN,2025-01,2025-01-27,2025-12,OBSERVATIONAL,,193,Cairo University,OTHER,Class II Malocclusion,0,
NCT06647264,A Multicenter Prospective Observational Study of Computer-aided Risk Perception and Prognosis Prediction in the Whole Process of Laparoscopic Hepatobiliary and Pancreatic Surgery,ENROLLING_BY_INVITATION,2024-09-01,2024-10-17,2027-01-01,OBSERVATIONAL,,1500,"Nanfang Hospital, Southern Medical University",OTHER,"Hepatocellular Carcinomas | Cholecystectomy, Laparoscopic | Hepatectomy | Pancreatoduodenectomy",1,China
NCT06828432,CTICU Device Study CRUISE,ENROLLING_BY_INVITATION,2025-06-03,2025-02-14,2027-01-31,OBSERVATIONAL,,50,Hernando Gomez,OTHER,Open Heart Surgery,1,United States
NCT05637814,Dynamic Critical Congenital Heart Screening With Addition of Perfusion Measurements,RECRUITING,2023-08-17,2022-12-05,2027-12-31,INTERVENTIONAL,NA,320,"University of California, Davis",OTHER,Congenital Heart Disease,3,United States
NCT05184790,LEARN: Learning Environment for Artificial Intelligence in Radiotherapy New Technology,RECRUITING,2023-02-28,2022-01-11,2028-01-31,OBSERVATIONAL,,300,University of Sydney,OTHER,"Arrhythmias, Cardiac | Breast Cancer | Prostatic Cancer | Brain Cancer | Kidney Cancer | Head and Neck Cancer | Liver Cancer | Pancreatic Cancer | Spinal Neoplasm",4,Australia
NCT04928690,Prediction of Amyloid and Mild Cognitive Impairment in Early Stage Alzheimer's Disease From Remote Speech Phenotyping,UNKNOWN,2021-06-20,2021-06-16,2022-08-30,OBSERVATIONAL,,140,Novoic Limited,INDUSTRY,Alzheimer Disease | Alzheimer's Disease (Incl Subtypes) | Mild Cognitive Impairment,0,
NCT07464171,Evaluation of Dora Care for Supporting Fracture Liaison Services (FLS),NOT_YET_RECRUITING,2026-02,2026-03-11,2027-12,INTERVENTIONAL,NA,217,Ufonia,INDUSTRY,AI (Artificial Intelligence) | Osteoporosis | Outpatient | Telemedicine | Automation | Risk Assesment | Bone Health,0,
NCT05042063,Acoustic Cough Monitoring for the Management of Patients With Known Respiratory Disease,COMPLETED,2021-09-15,2021-09-13,2022-09-15,OBSERVATIONAL,,616,"Clinica Universidad de Navarra, Universidad de Navarra",OTHER,Cough | COPD | GERD | Asthma | Tuberculosis | Non-Tuberculous Mycobacterial Pneumonia | COVID-19 Pneumonia,1,Spain
NCT06224543,MR Image Synthesis With Low Gadobutrol Dose and AI,COMPLETED,2023-06-16,2024-01-25,2025-08-15,INTERVENTIONAL,PHASE1,60,Subtle Medical,INDUSTRY,Enhancing Brain Lesions,5,United States
NCT05853458,Evaluation of HU-resistance in Adult Patients With Polycythemia Vera Who Meet PV-AIM Predictors,TERMINATED,2023-07-28,2023-05-10,2026-02-26,INTERVENTIONAL,PHASE4,76,Novartis Pharmaceuticals,INDUSTRY,Polycythemia Vera,21,Germany
NCT04415541,Psychodynamic Psychotherapy for Psychosis,WITHDRAWN,2021-05,2020-06-04,2021-08,INTERVENTIONAL,NA,0,Yale University,OTHER,Psychotic Disorders,0,
NCT07550010,Digital Telecytology for Triage of HPV-Positive Women in Cameroon,RECRUITING,2025-09-08,2026-04-24,2027-09-08,INTERVENTIONAL,NA,1800,"University Hospital, Geneva",OTHER,Human Papillomavirus Infection | Cervical Intraepithelial Neoplasia Grade 2 (CIN2) | Cervical Cancer Screening Methods,2,Cameroon
NCT05829590,AI-assisted Colonoscopy Report System In Improving Reporting Quality,UNKNOWN,2023-05-15,2023-04-25,2023-07-31,INTERVENTIONAL,NA,10,Renmin Hospital of Wuhan University,OTHER,Artificial Intelligence | Colonoscopy,1,China
NCT07543497,Performance and Impact of the Sepsis ImmunoScore,NOT_YET_RECRUITING,2026-04,2026-04-22,2027-12,OBSERVATIONAL,,5000,"Prenosis, Inc.",INDUSTRY,Sepsis,0,
NCT06055010,Improving Pancreatic Cancer Care by the Use of Computational Science and Technology,RECRUITING,2014-01-01,2023-09-26,2029-12-31,OBSERVATIONAL,,5000,UMC Utrecht,OTHER,Pancreatic Cancer | Pancreatic Cyst | Pancreatic Adenocarcinoma | Pancreatic Diseases | Pancreas Adenocarcinoma | Pancreas Cyst,1,Netherlands
NCT05187923,Computer Aided Tool for Diagnosis of Neck Masses in Children,UNKNOWN,2021-01-01,2022-01-12,2024-12-31,OBSERVATIONAL,,1500,West China Hospital,OTHER,Neck Mass | Thyroglossal Duct Cysts | Branchial Cleft Anomalies | Dermoid and Epidermoid Cysts | Infantile Hemangiomas | Teratomas,1,China
NCT05058690,Artificial Intelligence to Improve Cardiometabolic Risk Evaluation Using CT Scans,NOT_YET_RECRUITING,2025-02-15,2021-09-28,2025-02-28,INTERVENTIONAL,NA,180,Caristo Diagnostics Limited,INDUSTRY,Pre-diabetes | Diabetes Mellitus,0,
NCT06871150,Three Different GHDT ( Goal Hemodynamic Directed Therapy) Strategies for Intraoperative Fluid Management Optimization During Major Abdominal Surgery: A Randomized Controlled Trial,RECRUITING,2026-03-02,2025-03-11,2026-10-30,INTERVENTIONAL,NA,150,ASST Sette Laghi,OTHER,Hemodynamic,3,Italy
NCT05655117,Application of Artificial Intelligence in Early Detection of Eye Complications in Diabetics,UNKNOWN,2023-01,2022-12-19,2023-07,INTERVENTIONAL,NA,440,"The New Model of Care, Hail Health Cluster",OTHER_GOV,Artificial Intelegence | Diabetic Retinopathy Associated With Type 2 Diabetes Mellitus | Macular Edema Due to Type 2 Diabetes Mellitus,0,
NCT06521918,Combined Artificial Intelligence and Mobile Application for Remote Infant Motor Screening: Development and Validation,RECRUITING,2024-10-17,2024-07-26,2027-07-31,OBSERVATIONAL,,242,National Taiwan University Hospital,OTHER,Motor Disorders,1,Taiwan
NCT04294355,Artificial Intelligence-assisted Colonoscopy on Detection of Missed Proximal Lesions,COMPLETED,2021-03-01,2020-03-04,2022-04-15,INTERVENTIONAL,NA,216,The University of Hong Kong,OTHER,Colon Adenoma | Colon Polyp,3,China | Singapore | Vietnam
NCT04017351,Virtual Assistant for Plastic Surgery Patients,NOT_YET_RECRUITING,2028-01,2019-07-12,2030-09,INTERVENTIONAL,NA,200,Mayo Clinic,OTHER,Surgery,1,United States
NCT06193707,Intelligent Remote Intervention for High-risk Breast Cancer Populations,NOT_YET_RECRUITING,2024-01,2024-01-05,2027-12,INTERVENTIONAL,NA,1250,Qianfoshan Hospital,OTHER,Ultrasonography | Breast Neoplasm Female | Breast Carcinoma | Health Education,0,
NCT06333002,Machine Learning Model to Predict Outcome in Acute Hypoxemic Respiratory Failure,COMPLETED,2024-03-19,2024-03-27,2026-05-30,OBSERVATIONAL,,1241,Hospital Universitario de Gran Canaria Doctor Negrín,OTHER,Acute Hypoxemic Respiratory Failure,8,Spain
NCT07010211,Artificial Intelligence-Based Motion Analysis for Early Detection of COPD,NOT_YET_RECRUITING,2025-08-01,2025-06-08,2026-03-01,OBSERVATIONAL,,56,Burcin Celik,OTHER,Chronic Obstructive Pulmonary Disease (COPD),0,
NCT04903977,Detection of Obstetric Anal Sphincter Injuries With ONIRY Device,COMPLETED,2021-05-20,2021-05-27,2022-12-08,INTERVENTIONAL,NA,152,OASIS Diagnostics S.A.,INDUSTRY,Obstetric Anal Sphincter Injury | Delivery Complication | Obstetric Complication,5,Czechia | Poland | Slovakia | Spain
NCT04950036,Research on Acetabular Labrum Injury Based on MR: Multi-angle Deep Learning Model,COMPLETED,2020-12-01,2021-07-02,2021-05-30,OBSERVATIONAL,,1261,Peking University Third Hospital,OTHER,Labrum Injury of the Hip Joint,1,China
NCT07428694,From Bench to Bedside: A Machine Learning Tool for the Detection of Inspiratory Leak,RECRUITING,2025-10-01,2026-02-24,2026-10-01,OBSERVATIONAL,,20,University of Oslo,OTHER,Chronic Respiratory Failure,1,Norway
NCT05211466,"Digital Care Chains in Health Care - a Study of Care Consumption, Care Quality, Work Environment and Well-being",COMPLETED,2022-01-17,2022-01-27,2025-08-01,OBSERVATIONAL,,1012,Region Gävleborg,OTHER,"Stress and Burnout | Work Environment Adverse Effects | Well-Being, Psychological | Care Givers Satisfaction | Workload | Technology Use",1,Sweden
NCT04203251,Evaluation of TTE Utilization in Medical Surgery Step-Down Unit,UNKNOWN,2020-03,2019-12-18,2020-05,OBSERVATIONAL,,100,"Caption Health, Inc.",INDUSTRY,Cardiac Disease,1,United States
NCT04337502,Clinical and Radiomic Model of COVID-19,COMPLETED,2019-12-23,2020-04-07,2020-03-03,OBSERVATIONAL,,300,Maastricht University,OTHER,Coronavirus | Machine Learning,1,China
NCT05942677,Comparison of Flat Colorectal Lesion Detection by Artificial Intelligence-assisted Colonoscopy Versus Endoscopists,UNKNOWN,2022-01-01,2023-07-12,2023-12-30,OBSERVATIONAL,,160,Hospices Civils de Lyon,OTHER,Flat Colorectal Lesion,1,France
NCT05779319,1000 Eyes Lens Biometry Study: Artificial Intelligence for Intraocular Lens Power Calculation,UNKNOWN,2022-02-01,2023-03-22,2025-09-30,OBSERVATIONAL,,1000,Johannes Kepler University of Linz,OTHER,Cataract,1,Austria
NCT03974828,Telemedicine Notifications With Machine Learning for Postoperative Care,WITHDRAWN,2025-10-06,2019-06-05,2025-10-06,INTERVENTIONAL,NA,0,Washington University School of Medicine,OTHER,Surgery--Complications | Perioperative/Postoperative Complications | Acute Kidney Injury | Hospital Mortality,0,
NCT05514028,Evaluation of Salivary RNAs in the Presence of an Adnexal Mass of Ovarian Origin,ACTIVE_NOT_RECRUITING,2022-05-04,2022-08-24,2027-04,OBSERVATIONAL,,746,ZIWIG,INDUSTRY,Ovarian Cancer | Ovarian Cyst Benign | Borderline Ovarian Cancer,21,France | Switzerland | Tunisia
NCT04860895,Detection of SARS-CoV-2 in Nasopharyngeal Swabs by Using Multi-Spectral Screening System,UNKNOWN,2021-02-11,2021-04-27,2021-05-15,INTERVENTIONAL,NA,4400,Fable Biyoteknoloji San ve Tic A.S,INDUSTRY,Covid19,1,Turkey (Türkiye)
NCT04825301,Application of Machine Learning Based Approaches in Emergency Department to Support Clinical Decision Managing SARS-CoV-2 Infected Patients,UNKNOWN,2020-02-27,2021-04-01,2022-04-30,OBSERVATIONAL,,779,University of L'Aquila,OTHER,Covid19,1,Italy
NCT05643612,Deep Learning Algorithm for Traumatic Splenic Injury Detection and Sequential Localization,COMPLETED,2022-02-01,2022-12-09,2022-11-01,OBSERVATIONAL,,600,Chang Gung Memorial Hospital,OTHER,Spleen Injury | Machine Learning,1,Taiwan
NCT07804316,Fostering Self-Empowerment in CKD Patients Through Food Choice Mapping,RECRUITING,2026-04-15,2026-09-04,2027-08-16,OBSERVATIONAL,,30,Singapore Institute of Technology,OTHER,CKD | Chronic Kidney Disease (Stages 3b-5),1,Singapore
NCT06999499,Development of an Aid to Melanoma Detection Using Artificial Intelligence Algorithms Based on Images From the VECTRA 3D System.,NOT_YET_RECRUITING,2026-03-01,2025-05-31,2028-06-01,INTERVENTIONAL,NA,1000,Assistance Publique Hopitaux De Marseille,OTHER,Naevi,1,France
NCT05718193,Real-Time Artificial Intelligence Assissted Colonoscopy to Identify and Classify Polyps,COMPLETED,2022-06-01,2023-02-08,2023-03-15,INTERVENTIONAL,NA,2868,Xiangya Hospital of Central South University,OTHER,Artificial Intelligence | Colonoscopy | Quality Control,2,China
NCT06794840,JomCare Study - A Harm Reduction Study,NOT_YET_RECRUITING,2026-04-01,2025-01-27,2029-05-30,INTERVENTIONAL,NA,482,University of Connecticut,OTHER,HIV | Substance Abuse Disorder,1,Malaysia
NCT07518550,Maternal and Fetal Electrocardiograms Separation Algorithm,RECRUITING,2026-02-12,2026-04-08,2028-05-30,INTERVENTIONAL,NA,350,I.M. Sechenov First Moscow State Medical University,OTHER,Pregnancy Related,1,Russia
NCT07568366,AI in Endoscopic Transsphenoidal Surgery,NOT_YET_RECRUITING,2026-06-01,2026-05-05,2029-01-31,INTERVENTIONAL,EARLY_PHASE1,30,"University College, London",OTHER,Pituitary Adenoma,1,United Kingdom
NCT07649902,Artificial Intelligence Powered Digital Education Based on the Neuman Systems Model for Breast Cancer Patients Receiving Radiotherap,NOT_YET_RECRUITING,2026-08-01,2026-06-16,2027-07-01,INTERVENTIONAL,NA,38,Ataturk University,OTHER,Breast Cancer | Radiodermatitis,0,
NCT06993012,"An Integrative, Digital Health Approach to Veteran-Centered PTSD Care",COMPLETED,2025-04-21,2025-05-28,2026-07-01,INTERVENTIONAL,NA,37,Texas A&M University,OTHER,PTSD - Post Traumatic Stress Disorder | Depression/Anxiety,1,United States
NCT03033615,PixelShine vs. Iterative Reconstruction (IR) Processing of CT Images,UNKNOWN,2017-08,2017-01-27,2017-12,INTERVENTIONAL,NA,20,"AlgoMedica, Inc.",INDUSTRY,"Cancer, Lung | Cancer Liver | X-rays; Effects",0,
NCT07205835,Comparative Analysis of Artificial Intelligence-Generated and Studio-Based Reformer Pilates Interventions for Forward Head Posture,COMPLETED,2024-11-01,2025-10-03,2025-01-10,INTERVENTIONAL,NA,40,Uskudar University,OTHER,Posture | Neck Disorder,1,Turkey (Türkiye)
NCT06973317,Self-Powered Photodetectors for Smarter Healthcare,NOT_YET_RECRUITING,2027-06,2025-05-15,2028-12,OBSERVATIONAL,,200,Wrocław University of Science and Technology,OTHER,Blood Glucose Monitoring,1,Poland
NCT06792188,Smartwatch-Based AI Model for OSA Prediction (SWOSA),RECRUITING,2025-02-03,2025-01-24,2026-12-31,OBSERVATIONAL,,147,Seoul National University Hospital,OTHER,Obstructive Sleep Apnea of Adult | Screening | Smart Watch,1,South Korea
NCT07342790,Artificial Intelligence Clinical Decision,NOT_YET_RECRUITING,2026-02-01,2026-01-15,2027-04-01,INTERVENTIONAL,NA,70,Cairo University,OTHER,Myofacial Pain Syndrome | Clinical Decision Support,1,Egypt
NCT05495126,Evaluate Treatment Outcomes For AI-Enabled Information Collection Tool For Clinical Assessments In Mental Healthcare,ACTIVE_NOT_RECRUITING,2023-02-28,2022-08-10,2025-12-01,INTERVENTIONAL,NA,5400,Limbic Limited,INDUSTRY,Mental Health Issue,1,United Kingdom
NCT05244278,Artificial Intelligence (AI) Assisted Real-time Adenoma Detection and Classification During Colonoscopies,RECRUITING,2023-08-01,2022-02-17,2027-01-01,INTERVENTIONAL,NA,1596,Centre hospitalier de l'Université de Montréal (CHUM),OTHER,Artificial Intelligence,1,Canada
NCT04460274,Forecast Number of Covid-19 Cases Worldwide,COMPLETED,2019-12-31,2020-07-07,2020-06-20,OBSERVATIONAL,,7882471,Turkish Ministry of Health Izmir Teaching Hospital,OTHER_GOV,Covid-19,1,Turkey (Türkiye)
NCT07390708,Artificial Intelligence-Assisted Magnetic Resonance Imaging Diagnostic Strategy in a Tertiary Stroke Center,TERMINATED,2026-02-16,2026-02-05,2026-07-01,OBSERVATIONAL,,15,Aarhus University Hospital,OTHER,Stroke | Stroke Assessment,2,Denmark
NCT07581223,Integrating an AI-Driven Hydronephrosis Decision-Making Tool,NOT_YET_RECRUITING,2026-08-01,2026-05-12,2027-01-31,INTERVENTIONAL,NA,322,The Hospital for Sick Children,OTHER,Hydronephrosis | Hydronephrosis Congenital,0,
NCT06931496,Evaluation of the PROSTia Test in Patients Undergoing Prostate Biopsy,NOT_YET_RECRUITING,2025-04-15,2025-04-17,2025-11-01,INTERVENTIONAL,NA,150,"Central Hospital, Nancy, France",OTHER,Prostate Cancer (Adenocarcinoma),1,France
NCT07338643,The Auxiliary Effect of Artificial Intelligence in the Detection of Precancerous Lesions in Proximal Colon Cancer,NOT_YET_RECRUITING,2026-02-26,2026-01-14,2028-08-01,OBSERVATIONAL,,1200,Limian Er,OTHER,Abdominal Pain | Black Stools | Constipation | Diarrhea,1,China
NCT05810610,Automatic Anatomical and Functional Classification of Coronary Arteries With Artificial Intelligence.,UNKNOWN,2023-04,2023-04-12,2025-12,OBSERVATIONAL,,1670,Institut Mutualiste Montsouris,OTHER,Coronary Stenosis,0,
NCT06470776,Chatbot Counselling for Smoking Cessation in Youths,COMPLETED,2024-07-07,2024-06-24,2025-06-25,INTERVENTIONAL,NA,154,The University of Hong Kong,OTHER,Tobacco Use | Smoking Cessation,1,Hong Kong
NCT07325513,Machine Learning in Guiding rTMS Treatment for GWI-Related Headaches and Body Pain,RECRUITING,2026-03-25,2026-01-08,2029-10,INTERVENTIONAL,NA,140,Veterans Medical Research Foundation,OTHER,Gulf War Illness | Headache | Muscle and Joint Pain,1,United States
NCT05793554,CLASSICA: Validating AI in Classifying Cancer in Real-Time Surgery,RECRUITING,2023-03-31,2023-03-31,2027-03,OBSERVATIONAL,,600,Mater Misericordiae University Hospital,OTHER,Rectum Neoplasm | Rectum Polyp | Rectal Cancer,1,Ireland
NCT07463872,Management of Pancreatic Cystic Lesions Using Artificial Intelligence Based on EUS and Multimodal Data,RECRUITING,2025-01-01,2026-03-11,2026-06,OBSERVATIONAL,,500,Huazhong University of Science and Technology,OTHER,"Pancreatic Cystic Lesion | Mucinous Cystadenoma of Pancreas | Intraductal Papillary Mucinous Neoplasm of Pancreas | Pseudocyst Pancreas | Serous Cystadenoma | Neuroendocrine Tumors, NET",2,China
NCT06474351,Developement of TipTraQ Home Sleep Test,COMPLETED,2023-06-01,2024-06-25,2023-12-31,OBSERVATIONAL,,240,PranaQ Pte. Ltd.,INDUSTRY,Obstructive Sleep Apnea,1,Taiwan
NCT05976672,Machine Learning Technology in Predicting Relapse and Implementing Peer Recovery Intervention Before Drug Use Occurs,ACTIVE_NOT_RECRUITING,2023-04-27,2023-08-04,2028-04-26,INTERVENTIONAL,NA,500,West Virginia University,OTHER,Substance Abuse Disorder,1,United States
NCT07637656,"Discovering Determinants of Food Intake by Application of Artificial Intelligence to Complex, High-Dimensional Data",NOT_YET_RECRUITING,2026-09-20,2026-06-10,2037-07-01,OBSERVATIONAL,,800,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,Healthy Volunteer,1,United States
NCT07358819,Quantitative 3D UltraSound Brain Imaging: Development of New Bedside Biomarkers to Better Predict Neurodevelopmental Outcomes in Preterm Infants,NOT_YET_RECRUITING,2026-04,2026-01-22,2031-04,INTERVENTIONAL,NA,360,Assistance Publique - Hôpitaux de Paris,OTHER,Very Preterm Infants Born < 30 Weeks of Gestation,1,France
NCT07480265,Homocysteine and Early Diastolic Dysfunction in Newly Diagnosed Hypertension,RECRUITING,2025-06-02,2026-03-18,2028-03,OBSERVATIONAL,,500,Necmettin Erbakan University,OTHER,Hypertension (HTN) | Hyperhomocysteinemia | Diastolic Dysfunction,1,Turkey (Türkiye)
NCT06739005,AI Model for Assessing Cardiac Surgeons' Techniques,RECRUITING,2025-01-09,2024-12-18,2027-07,OBSERVATIONAL,,284,China National Center for Cardiovascular Diseases,OTHER_GOV,CABG-patients | CABG | Cardiovascular Surgery | Surgeons | Artificial Intelligence (AI),1,China
NCT04952675,Evaluation of Pneumoconiosis High Risk Early Warning Models,UNKNOWN,2018-08-01,2021-07-07,2025-12,OBSERVATIONAL,,200,Peking University Third Hospital,OTHER,Pneumoconiosis,1,China
NCT06804200,Prospective Validation of AKI Prediction,ACTIVE_NOT_RECRUITING,2025-06-25,2025-02-03,2027-08-01,OBSERVATIONAL,,800,Adam C Dziorny,OTHER,Acute Kidney Injury,1,United States
NCT06001528,Serum and Tissue Metabolite-based Prediction of Sentinel Lymph Node Metastasis in Breast Cancer,UNKNOWN,2021-01-01,2023-08-21,2026-08-31,OBSERVATIONAL,,2400,Shantou Central Hospital,OTHER,Breast Cancer | Lymph Node Metastasis,1,China
NCT05320965,Prospective Validation of the Model Predicting Postoperative Delirium Occurrence With Machine Learning-based Analysis of Intraoperative Biological Signals During Anesthesia in Cardiac Surgery,UNKNOWN,2022-03-17,2022-04-11,2024-02-29,OBSERVATIONAL,,200,Yonsei University,OTHER,Adult Patients Undergoing Open Heart Surgery,1,South Korea
NCT06765551,AI Based Muscular Ultrasound to Assess Intensive Care Unit-acquired Weakness,COMPLETED,2024-10-01,2025-01-09,2026-07-31,OBSERVATIONAL,,64,Jena University Hospital,OTHER,Intensive Care Unit-acquired Weakness | Artifical Intelligence | Ultrasound,1,Germany
NCT06920602,AI Chatbot for Migraine Management in Hong Kong Women,COMPLETED,2025-07-01,2025-04-10,2025-11-01,INTERVENTIONAL,NA,49,The Hong Kong Polytechnic University,OTHER,Migraine,1,Hong Kong
NCT05807841,Clinical Impact of Intravascular Ultrasound-Based Artificial Intelligence Technologies (INNOVATE-PCI),RECRUITING,2020-02-20,2023-04-11,2029-12-31,OBSERVATIONAL,,3000,Asan Medical Center,OTHER,Coronary Artery Disease,16,South Korea
NCT07514702,Evalution of the Effectiveness of a Shoulder Dystocia Training Program Designed With Inverted Learning Supported by Generative Artificial Intelligence,NOT_YET_RECRUITING,2026-04,2026-04-07,2027-06,OBSERVATIONAL,,114,Fenerbahce University,OTHER,Shoulder Dystocia Training Using AI-supported Flipped Learning in Midwifery Education,1,Turkey (Türkiye)
NCT06351657,"Personalized Monitoring of Non-foveal, Non-vision Compromising Atrophic Age-related Macular Degeneration With Artificial Intelligence and Identification of Disease Progression",RECRUITING,2025-04-11,2024-04-08,2027-07,OBSERVATIONAL,,200,Medical University of Vienna,OTHER,Age-Related Macular Degeneration | Geographic Atrophy,7,Austria | France | Slovenia | Spain | Switzerland | United Kingdom
NCT06713122,Effects of Symptom Management Education With Mobile Application in Gynecological Cancer Patients Receiving Chemotherapy,ENROLLING_BY_INVITATION,2025-01-01,2024-12-03,2026-02-02,INTERVENTIONAL,NA,70,Esra Nur Erdoğan,OTHER,Gynaecological Cancer | Chemotherapy | Nursing Care,1,Turkey (Türkiye)
NCT06357039,Validation Study of Sleep Tracking Devices,COMPLETED,2023-03-21,2024-04-10,2023-07-17,OBSERVATIONAL,,305,PNAPS Health Informatics and Space Technologies Inc.,OTHER,Sleep | Sleep Disorder,1,Turkey (Türkiye)
NCT05144230,Healthy Data: Improving Health Information Quality Using Intelligent Systems,UNKNOWN,2022-02,2021-12-03,2022-04,OBSERVATIONAL,,60000,University of Portsmouth,OTHER,Data Quality,0,
NCT04366765,COVID-19 Survival - The COVIVA Study,COMPLETED,2020-03-19,2020-04-29,2021-06-30,OBSERVATIONAL,,1325,"University Hospital, Basel, Switzerland",OTHER,COVID-19 | SARS-CoV 2,1,Switzerland
NCT05800132,Diagnostic Performance of Breast Cancer Screening Second Reading Process Assisted by AI,RECRUITING,2023-06-01,2023-04-05,2027-09,INTERVENTIONAL,NA,5000,Therapixel,INDUSTRY,Breast Cancer,7,France
NCT06301009,The AI-CAC Model for Subclinical Atherosclerosis Detection on Chest X-ray,UNKNOWN,2024-04-01,2024-03-08,2025-10-01,INTERVENTIONAL,NA,500,A.O.U. Città della Salute e della Scienza,OTHER,Cardiovascular Diseases | Atherosclerosis | Coronary Artery Calcification,0,
NCT07304492,AI for Renal Tumors Using Non-Contrast CT,NOT_YET_RECRUITING,2026-01,2025-12-26,2028-12,OBSERVATIONAL,,10000,Fudan University,OTHER,Renal Neoplasms | Renal Cyst,1,China
NCT06605898,Optimized Tailored Interventions in Metabolic and Lifestyle Outcomes (OPTIMAL),RECRUITING,2024-07-03,2024-09-20,2027-12-31,INTERVENTIONAL,NA,72,University of Illinois at Urbana-Champaign,OTHER,"Cognitive Change | Diet, Healthy | Metabolic Syndrome, Protection Against",1,United States
NCT07689916,Machine Learning-Based Risk Identification and Precision Exercise for Common Running Injuries,COMPLETED,2025-08-01,2026-07-08,2026-02-01,INTERVENTIONAL,NA,204,Zeyi Zhang,OTHER,"Running-related Injuries | Medial Tibial Stress Syndrome | Patellofemoral Pain, PFP | Chronic Achilles Tendinopathy",1,China
NCT04136236,Automatic Diagnosis of Early Esophageal Squamous Neoplasia Using pCLE With AI,COMPLETED,2019-08-01,2019-10-23,2023-01-31,OBSERVATIONAL,,57,Shandong University,OTHER,Esophageal Neoplasms | Artificial Intelligence | Confocal Laser Endomicroscopy,1,China
NCT07746830,Prospective Assessment of Alignment Between Multimodal Artificial Intelligence and Multidisciplinary Team Decisions in Gastrointestinal Oncology,NOT_YET_RECRUITING,2026-08-05,2026-08-05,2028-08-05,OBSERVATIONAL,,69,Shanghai Minimally Invasive Surgery Center,OTHER,Gastric Cancer | Colorectal Cancer | Gastrointestinal Cancer,1,China
NCT07426107,Development and Prospective Validation of an AI Model for Prognosis in ITP Patients Undergoing Coronary Revascularization,NOT_YET_RECRUITING,2026-02-25,2026-02-23,2029-02-25,OBSERVATIONAL,,600,Xiao Hui Zhang,OTHER,Immune Thrombocytopenic Purpura | Coronary Artery Disease,0,
NCT06911398,AMIE's Clinical Conversational Abilities in an Urgent Care Setting,COMPLETED,2025-04-02,2025-04-04,2026-04-06,OBSERVATIONAL,,100,Beth Israel Deaconess Medical Center,OTHER,Artificial Intelligence (AI) | Clinical Reasoning,1,United States
NCT05777304,Wearable Sensors and Machine Learning for the Assessment of Biomechanical Risk in Lifting Tasks,COMPLETED,2010-10-07,2023-03-21,2022-05-06,OBSERVATIONAL,,41,Istituti Clinici Scientifici Maugeri SpA,OTHER,Wearable Devices,0,
NCT06241664,Efficacy and Safety of AEYE Diagnostic Screening (AEYE-DS) Software Device for Detection of Diabetic Retinopathy From Digital Funduscopic Images,COMPLETED,2024-01-31,2024-02-05,2025-02-20,INTERVENTIONAL,NA,601,AEYE Health Inc,INDUSTRY,"Diabetic Retinopathy, DR | Diabetic Mellitus",1,United States
NCT06616506,Artificial Intelligence for Highly Myopic Cataract,RECRUITING,2016-01-01,2024-09-27,2035-12-31,OBSERVATIONAL,,500000,Shanghai High Myopia Study Group,OTHER,Cataract | High Myopia | Myopia | Automatic Judgement | Risk Reduction | Diagnoses Disease,1,China
